epoch,accuracy,loss,val_accuracy,val_loss
0,0.28529292345046997,1.7800995111465454,0.16604077816009521,1.8974509239196777
1,0.3638557493686676,1.479381799697876,0.32188841700553894,1.5191013813018799
2,0.4386647045612335,1.3515539169311523,0.44688841700553894,1.3385065793991089
3,0.49423515796661377,1.2477891445159912,0.4235514998435974,1.3875800371170044
4,0.5376726388931274,1.1518245935440063,0.5576716661453247,1.11667001247406
5,0.5669660568237305,1.0850845575332642,0.6083691120147705,1.0370839834213257
6,0.5968628525733948,1.0247385501861572,0.6121244430541992,0.9831945896148682
7,0.6296420693397522,0.9551456570625305,0.6440450549125671,0.9293960928916931
8,0.6514948606491089,0.8974882960319519,0.6298283338546753,0.9682642817497253
9,0.6694597005844116,0.8538082838058472,0.6740880012512207,0.8716800212860107
10,0.6871564388275146,0.8141878843307495,0.667382001876831,0.8523737192153931
11,0.6943960189819336,0.7989044785499573,0.6689913868904114,0.8642659187316895
12,0.7041828632354736,0.7677868008613586,0.6971566677093506,0.8119391798973083
13,0.7145059704780579,0.7430000901222229,0.6993025541305542,0.808907687664032
14,0.7202708125114441,0.7278069257736206,0.6976931095123291,0.7958285212516785
15,0.738436758518219,0.6932370662689209,0.6971566677093506,0.7997395992279053
16,0.7480895519256592,0.6642246246337891,0.7100321650505066,0.7833297848701477
17,0.7568708658218384,0.6483017206192017,0.707886278629303,0.7761534452438354
18,0.7593511343002319,0.6355406045913696,0.7148604989051819,0.776050329208374
19,0.7685346603393555,0.6183145642280579,0.7194206118583679,0.7538683414459229
20,0.7712830305099487,0.6045830845832825,0.7237124443054199,0.7581440806388855
21,0.7815390825271606,0.5941265821456909,0.729613721370697,0.7526436448097229
22,0.7816731333732605,0.5790295600891113,0.6982296109199524,0.7972151041030884
23,0.781606137752533,0.5816980600357056,0.7290772795677185,0.735181987285614
24,0.7934039235115051,0.5529767274856567,0.73685622215271,0.7444804310798645
25,0.7961522936820984,0.543343186378479,0.720761775970459,0.7703924179077148
